港台频道,#genre#

凤凰中文,mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
翡翠台,mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB亚洲武侠,mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
广东珠江,mytv.php?url=http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰深圳旁边,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰深圳旁边,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1祖国同胞版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
八度空间,https://cdn6.163189.xyz/live/8tv/stream.m3u8
CH5,https://cdn6.163189.xyz/live/ch5/stream.m3u8
CH8,https://cdn6.163189.xyz/live/ch8/stream.m3u8
CHU,https://cdn6.163189.xyz/live/chu/stream.m3u8
翡翠台,http://php.jdshipin.com/smt.php?id=jade_twn
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
无线新闻台, http://php.jdshipin.com/smt.php?id=inews_twn
TVB星河, http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
千禧经典台, http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
天映频道, http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
Astro AOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
八度空间,http://php.jdshipin.com/smt.php?id=TV8
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
TVB生活台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbsh
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
